country,views,likes
AE,72,0
AF,2,0
AG,1,0
AL,3,0
AM,11,0
AO,1,0
AR,98,0
AT,99,0
AU,451,2
AW,1,0
AX,2,0
AZ,8,0
BA,8,0
BB,3,0
BD,68,0
BE,126,1
BG,37,0
BH,3,0
BI,1,0
BM,2,0
BO,11,0
BR,360,4
BY,43,1
CA,785,2
CD,1,0
CH,164,0
CI,4,0
CL,61,0
CN,40,1
CO,56,0
CR,15,0
CV,2,0
CY,14,0
CZ,79,1
DE,904,2
DK,113,0
DO,5,0
DZ,5,0
EC,13,0
EE,28,0
EG,27,0
ES,272,2
ET,2,0
FI,95,1
FO,1,0
FR,553,2
GB,1145,5
GE,6,0
GH,15,0
GI,2,0
GP,3,0
GR,49,0
GT,13,1
HK,244,2
HN,2,0
HR,32,1
HU,100,0
ID,291,2
IE,107,0
IL,352,1
IN,2472,8
IQ,10,0
IR,1,0
IS,7,0
IT,169,2
JM,13,0
JO,10,0
JP,1792,3
KE,25,0
KH,9,0
KR,1103,10
KW,7,0
KZ,17,0
LB,10,0
LK,34,0
LS,1,0
LT,39,0
LU,3,0
LV,20,0
LY,1,0
MA,55,0
MD,9,0
ME,4,0
MK,12,0
MM,1,0
MN,5,0
MO,5,0
MT,4,0
MU,4,0
MV,4,0
MX,91,1
MY,109,0
MZ,1,0
NC,2,0
NG,34,0
NI,3,0
NL,383,4
NO,125,0
NP,11,0
NZ,57,0
PA,4,0
PE,16,0
PG,3,0
PH,145,1
PK,67,0
PL,277,0
PR,3,0
PS,2,0
PT,85,0
PY,1,0
QA,7,0
RE,3,0
RO,103,1
RS,82,1
RU,300,0
RW,1,0
SA,65,2
SD,1,0
SE,238,0
SG,257,0
SI,26,0
SK,18,0
SL,2,0
SN,1,0
SV,5,0
SX,1,0
SY,1,0
SZ,1,0
TH,153,0
TN,31,0
TR,78,0
TT,6,0
TW,174,1
TZ,10,0
UA,202,0
UG,5,0
US,9617,41
UY,9,-1
UZ,5,0
VE,9,0
VN,234,0
YE,1,0
ZA,166,0
ZM,2,0
ZW,9,0
ZZ,43,0
